date,description,debit,credit,balance
2024-01-15,"GROCERY STORE PURCHASE",125.50,0.00,2874.50
2024-01-16,"SALARY CREDIT",0.00,5000.00,7874.50
2024-01-17,"UBER RIDE",35.25,0.00,7839.25
2024-01-18,"RESTAURANT PAYMENT",280.75,0.00,7558.50
2024-01-19,"ELECTRICITY BILL",145.00,0.00,7413.50
2024-01-20,"ATM WITHDRAWAL",500.00,0.00,6913.50
2024-01-21,"ONLINE SHOPPING",199.99,0.00,6713.51
2024-01-22,"RENT PAYMENT",1200.00,0.00,5513.51
2024-01-23,"PHARMACY PURCHASE",67.30,0.00,5446.21
2024-01-24,"MOVIE TICKETS",45.00,0.00,5401.21